species,Compartment,MP_Form,Size_Fraction_um,mass_g,number_of_particles,concentration_g_m3,concentration_num_m3,mass_fraction,number_fraction
dA5_Utopia,Surface_Freshwater,freeMP,500.0,2.3371600082506137e-14,3.6437933202590703e-10,1.3748000048533022e-27,2.143407835446512e-23,2.093186889068913e-24,5.077521839364395e-27
cA5_Utopia,Surface_Freshwater,freeMP,50.0,1.5894933865449467e-15,2.4781295949110694e-08,9.349961097323216e-29,1.4577232911241586e-21,1.4235682217872618e-25,3.453202756857124e-25
bA5_Utopia,Surface_Freshwater,freeMP,5.0,1.0872793081567381e-17,1.6951432791642216e-07,6.3957606362161065e-31,9.971431053907186e-21,9.737796233699547e-28,2.3621337063640457e-24
aA5_Utopia,Surface_Freshwater,freeMP,0.5,7.700184276914126e-21,1.2005117293610207e-07,4.5295201628906624e-34,7.061833702123652e-21,6.896371970661802e-31,1.6728787800210104e-24
eB5_Utopia,Surface_Freshwater,heterMP,5000.0,3.646354803110438e-13,5.6849181177002536e-12,2.1449145900649636e-26,3.344069481000149e-25,3.2657165276746396e-23,7.921770902079887e-29
dB5_Utopia,Surface_Freshwater,heterMP,500.0,2.337160098710975e-13,3.6437934612929995e-09,1.3748000580652793e-26,2.143407918407647e-22,2.0931869700862336e-23,5.077522035891144e-26
cB5_Utopia,Surface_Freshwater,heterMP,50.0,1.5895092612718622e-14,2.4781543447029923e-07,9.350054478069778e-28,1.4577378498252896e-20,1.4235824393719071e-24,3.453237244984733e-24
bB5_Utopia,Surface_Freshwater,heterMP,5.0,1.0877901093971939e-16,1.695939653456689e-06,6.398765349395259e-30,9.976115608568759e-20,9.742371027276656e-27,2.3632434311774235e-23
aB5_Utopia,Surface_Freshwater,heterMP,0.5,7.285586465802318e-20,1.1358730769200173e-06,4.285639097530775e-33,6.681606334823631e-20,6.525053490372774e-30,1.5828066654442856e-23
eC5_Utopia,Surface_Freshwater,biofMP,5000.0,1.6581264946375694e-10,2.5633068625726665e-09,9.753685262573937e-24,1.5078275662192157e-22,1.4850368082376434e-20,3.571894844677955e-26
dC5_Utopia,Surface_Freshwater,biofMP,500.0,3.4950936409069473e-16,5.014391386362076e-12,2.055937435827616e-29,2.949641991977692e-25,3.130245323122126e-26,6.987411067970209e-29
cC5_Utopia,Surface_Freshwater,biofMP,50.0,6.186241798483776e-17,4.748581852948731e-10,3.6389657638139864e-30,2.7932834429110183e-23,5.540467995124027e-27,6.617013080929177e-27
bC5_Utopia,Surface_Freshwater,biofMP,5.0,3.3788268346050737e-18,1.3927018260380425e-09,1.987545196826514e-31,8.192363682576721e-23,3.02611545878855e-28,1.9406901862721614e-26
aC5_Utopia,Surface_Freshwater,biofMP,0.5,6.661210315576218e-21,7.917917005092103e-12,3.918359009162481e-34,4.657598238289472e-25,5.965855161252447e-31,1.1033391024705937e-28
eD5_Utopia,Surface_Freshwater,heterBiofMP,5000.0,1.6581264947381572e-09,2.5851333346208843e-08,9.75368526316563e-23,1.5206666674240497e-21,1.4850368083277308e-19,3.6023094095998815e-25
dD5_Utopia,Surface_Freshwater,heterBiofMP,500.0,3.495093384759488e-15,5.4490911551241425e-11,2.05593728515264e-28,3.2053477383083193e-24,3.13024509371357e-25,7.5931527704933135e-28
cD5_Utopia,Surface_Freshwater,heterBiofMP,50.0,6.186223497545968e-16,9.644748232218849e-09,3.6389549985564517e-29,5.673381313069911e-22,5.540451604597515e-26,1.3439680980802863e-25
bD5_Utopia,Surface_Freshwater,heterBiofMP,5.0,3.3785597569493377e-17,5.267407208324959e-07,1.98738809232314e-30,3.0984748284264467e-20,3.0258762610248637e-27,7.339981383794251e-24
aD5_Utopia,Surface_Freshwater,heterBiofMP,0.5,6.659828285015925e-20,1.038313069423841e-06,3.9175460500093676e-33,6.107723937787301e-20,5.9646173990800305e-30,1.4468595836061836e-23
eA6_Utopia,Bulk_Freshwater,freeMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dA6_Utopia,Bulk_Freshwater,freeMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cA6_Utopia,Bulk_Freshwater,freeMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bA6_Utopia,Bulk_Freshwater,freeMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aA6_Utopia,Bulk_Freshwater,freeMP,0.5,1.9497399326629e-22,3.039778756182463e-09,1.2185874579143125e-36,1.8998617226140392e-23,1.746209095541936e-32,4.2358448091822645e-26
eB6_Utopia,Bulk_Freshwater,heterMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dB6_Utopia,Bulk_Freshwater,heterMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cB6_Utopia,Bulk_Freshwater,heterMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bB6_Utopia,Bulk_Freshwater,heterMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aB6_Utopia,Bulk_Freshwater,heterMP,0.5,1.855879514188803e-21,2.8934439033417144e-08,1.1599246963680019e-35,1.8084024395885716e-22,1.6621466451068203e-31,4.0319313745129655e-25
eC6_Utopia,Bulk_Freshwater,biofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dC6_Utopia,Bulk_Freshwater,biofMP,500.0,3.88956355873431e-15,5.580335181109505e-11,2.4309772242089438e-29,3.4877094881934408e-25,3.4835370349490673e-25,7.7760375692884895e-28
cC6_Utopia,Bulk_Freshwater,biofMP,50.0,6.884193483021182e-16,5.284332121268608e-09,4.3026209268882386e-30,3.30270757579288e-23,6.165561403414369e-26,7.363565766207743e-26
bC6_Utopia,Bulk_Freshwater,biofMP,5.0,3.75879280540683e-17,1.549318109520879e-08,2.3492455033792687e-31,9.683238184505494e-23,3.366417271915113e-27,2.158930500661795e-25
aC6_Utopia,Bulk_Freshwater,biofMP,0.5,7.440841453615063e-20,8.844633675656059e-11,4.650525908509414e-34,5.527896047285037e-25,6.664101610229764e-30,1.2324744216318078e-27
eD6_Utopia,Bulk_Freshwater,heterBiofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dD6_Utopia,Bulk_Freshwater,heterBiofMP,500.0,3.8895632794598796e-14,6.064096872438493e-10,2.430977049662425e-28,3.7900605452740584e-24,3.483536784827735e-24,8.450145658546459e-27
cD6_Utopia,Bulk_Freshwater,heterBiofMP,50.0,6.884174324202141e-15,1.07329016111322e-07,4.3026089526263383e-29,6.708063506957626e-22,6.16554424455974e-25,1.4955991611071506e-24
bD6_Utopia,Bulk_Freshwater,heterBiofMP,5.0,3.7585025246354786e-16,5.859764134717759e-06,2.349064077897174e-30,3.662352584198599e-20,3.3661572931791274e-26,8.165413829080242e-23
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,7.4393370734091215e-19,1.1598438549157775e-05,4.649585670880701e-33,7.24902409322361e-20,6.662754270333421e-29,1.616209259412314e-22
eA7_Utopia,Sediment_Freshwater,freeMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dA7_Utopia,Sediment_Freshwater,freeMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cA7_Utopia,Sediment_Freshwater,freeMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bA7_Utopia,Sediment_Freshwater,freeMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aA7_Utopia,Sediment_Freshwater,freeMP,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
eB7_Utopia,Sediment_Freshwater,heterMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dB7_Utopia,Sediment_Freshwater,heterMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cB7_Utopia,Sediment_Freshwater,heterMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bB7_Utopia,Sediment_Freshwater,heterMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,4.713202771025933e-21,7.348207531133347e-08,4.063105837091322e-33,6.334661664770127e-20,4.2211976120621965e-31,1.0239517157043018e-24
eC7_Utopia,Sediment_Freshwater,biofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dC7_Utopia,Sediment_Freshwater,biofMP,500.0,6.545847143132674e-11,9.391290449788886e-07,5.642971675114375e-23,8.095940042921453e-19,5.862534601604086e-21,1.308649480570073e-23
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,4.460330350855504e-12,3.423765907019685e-05,3.845112371427159e-24,2.95152233363766e-17,3.9947222177206423e-22,4.770919928171913e-22
