Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0003643879853989019,0.0,0.0,0.0,1.2848837209302325e-08,4.452387977702348e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,"[2.3782343987823448e-09, 0.0, 0.0, 0.0, 0.0]",0.0013589965180795954,0.0,0.0,0.0,1.2848837209302325e-08,8.708055100368702e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,"[9.417808219178084e-09, 9.512937595129377e-11, 0.0, 0.0, 0.0]",0.1165610336498048,0.0,0.0,0.0,1.2848837209302325e-08,5.051241294551403e-05,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,"[8.077910958904112e-08, 0.0, 8.085996955859971e-11, 0.0, 0.0]",106.30919417524349,0.0,0.0,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,"[7.942508561643837e-07, 0.0, 0.0, 7.943302891933031e-11, 0.0]",1850269.279647996,0.0,0.0,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,3.6449618096042567e-13,0.0,0.0,1.2848837209302325e-08,4.45352185051245e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.3782637593383765e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.3591450575879609e-12,0.0,0.0,1.2848837209302325e-08,8.708853499570371e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp3,8.022536812036404e-11,"[9.417810035884569e-11, 9.512939430186434e-13, 0.0, 0.0, 0.0]",0.0,1.165615552991495e-10,0.0,0.0,1.2848837209302325e-08,5.0512629680213326e-05,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp4,8.022536812036404e-11,"[8.077910961441445e-10, 0.0, 8.085996958399845e-13, 0.0, 0.0]",0.0,1.0630919004439468e-07,0.0,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp5,8.022536812036404e-11,"[7.942508561646468e-09, 0.0, 0.0, 7.943302891935662e-13, 0.0]",0.0,0.0018502692796077583,0.0,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
