,modelBox,Compartment,MPform,sizeBin,thalf_deg_d,tfrag_gen_d,tbiof_growth_d,tbiof_degrade_d,alpha_heter
101,Utopia,Surface_Freshwater,freeMP,mp4,5000,NAN,10,NAN,0.01
102,Utopia,Surface_Freshwater,freeMP,mp3,5000,NAN,10,NAN,0.01
103,Utopia,Surface_Freshwater,freeMP,mp2,5000,NAN,10,NAN,0.01
104,Utopia,Surface_Freshwater,freeMP,mp1,5000,NAN,10,NAN,0.01
105,Utopia,Surface_Freshwater,heterMP,mp5,50000,NAN,10,NAN,NAN
106,Utopia,Surface_Freshwater,heterMP,mp4,50000,NAN,10,NAN,NAN
107,Utopia,Surface_Freshwater,heterMP,mp3,50000,NAN,10,NAN,NAN
108,Utopia,Surface_Freshwater,heterMP,mp2,50000,NAN,10,NAN,NAN
109,Utopia,Surface_Freshwater,heterMP,mp1,50000,NAN,10,NAN,NAN
110,Utopia,Surface_Freshwater,biofMP,mp5,25000,NAN,NAN,NAN,0.02
111,Utopia,Surface_Freshwater,biofMP,mp4,25000,NAN,NAN,NAN,0.02
112,Utopia,Surface_Freshwater,biofMP,mp3,25000,NAN,NAN,NAN,0.02
113,Utopia,Surface_Freshwater,biofMP,mp2,25000,NAN,NAN,NAN,0.02
114,Utopia,Surface_Freshwater,biofMP,mp1,25000,NAN,NAN,NAN,0.02
115,Utopia,Surface_Freshwater,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
116,Utopia,Surface_Freshwater,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
117,Utopia,Surface_Freshwater,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
118,Utopia,Surface_Freshwater,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
119,Utopia,Surface_Freshwater,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
120,Utopia,Bulk_Freshwater,freeMP,mp5,5000,365,30,NAN,0.01
121,Utopia,Bulk_Freshwater,freeMP,mp4,5000,NAN,30,NAN,0.01
122,Utopia,Bulk_Freshwater,freeMP,mp3,5000,NAN,30,NAN,0.01
123,Utopia,Bulk_Freshwater,freeMP,mp2,5000,NAN,30,NAN,0.01
124,Utopia,Bulk_Freshwater,freeMP,mp1,5000,NAN,30,NAN,0.01
125,Utopia,Bulk_Freshwater,heterMP,mp5,50000,NAN,30,NAN,NAN
126,Utopia,Bulk_Freshwater,heterMP,mp4,50000,NAN,30,NAN,NAN
127,Utopia,Bulk_Freshwater,heterMP,mp3,50000,NAN,30,NAN,NAN
128,Utopia,Bulk_Freshwater,heterMP,mp2,50000,NAN,30,NAN,NAN
129,Utopia,Bulk_Freshwater,heterMP,mp1,50000,NAN,30,NAN,NAN
130,Utopia,Bulk_Freshwater,biofMP,mp5,25000,730,NAN,NAN,0.02
131,Utopia,Bulk_Freshwater,biofMP,mp4,25000,NAN,NAN,NAN,0.02
132,Utopia,Bulk_Freshwater,biofMP,mp3,25000,NAN,NAN,NAN,0.02
133,Utopia,Bulk_Freshwater,biofMP,mp2,25000,NAN,NAN,NAN,0.02
134,Utopia,Bulk_Freshwater,biofMP,mp1,25000,NAN,NAN,NAN,0.02
135,Utopia,Bulk_Freshwater,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
136,Utopia,Bulk_Freshwater,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
137,Utopia,Bulk_Freshwater,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
138,Utopia,Bulk_Freshwater,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
139,Utopia,Bulk_Freshwater,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
