,eA0_Utopia,dA0_Utopia,cA0_Utopia,bA0_Utopia,aA0_Utopia,eB0_Utopia,dB0_Utopia,cB0_Utopia,bB0_Utopia,aB0_Utopia,eA1_Utopia,dA1_Utopia,cA1_Utopia,bA1_Utopia,aA1_Utopia,eB1_Utopia,dB1_Utopia,cB1_Utopia,bB1_Utopia,aB1_Utopia,eA2_Utopia,dA2_Utopia,cA2_Utopia,bA2_Utopia,aA2_Utopia,eB2_Utopia,dB2_Utopia,cB2_Utopia,bB2_Utopia,aB2_Utopia
eA1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005564213267684819,3.1709791983764586e-08,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dA1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005563927879556965,3.1709791983764586e-09,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cA1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7112761777519998e-05,3.170979198376459e-10,0.0,0.0,0.0,2.6722827703101953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bA1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.353342562707017e-06,3.1709791983764586e-11,0.0,0.0,0.0,9.636938764168232e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8361761493937586e-06,0.0,0.0,0.0,0.0,1.4465560019163503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eB1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,-0.000556388172919872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dB1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,-0.000556388172919872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cB1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667882468976667e-06,0.0,0.0,0.0,0.0,-3.05605538884871e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bB1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.708752320699167e-08,0.0,0.0,0.0,0.0,-4.858360356653823e-07,0.0,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10,5.755925863473384e-10
aB1_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13243449461785e-08,0.0,0.0,0.0,0.0,-4.708915786413947e-07,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09,1.394313823172961e-09
eA2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005560719166462598,3.1709791983764586e-08,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0
dA2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005560433778334743,3.1709791983764586e-09,0.0,0.0,0.0,0.000556,0.0,0.0,0.0
cA2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6763351655297774e-05,3.170979198376459e-10,0.0,0.0,0.0,2.6722827703101953e-05,0.0,0.0
bA2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0039324404847944e-06,3.1709791983764586e-11,0.0,0.0,0.0,9.636938764168232e-07,0.0
aA2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.486766027171536e-06,0.0,0.0,0.0,0.0,1.4465560019163503e-06
eB2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,-0.0005560387627976498,0.0,0.0,0.0,0.0
dB2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000556,0.0,0.0,0.0,0.0,-0.0005560387627976498,0.0,0.0,0.0
cB2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667882468976667e-06,0.0,0.0,0.0,0.0,-2.7066452666264877e-06,0.0,0.0
bB2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.708752320699167e-08,0.0,0.0,0.0,0.0,-1.3590788011544738e-07,0.0
aB2_Utopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13243449461785e-08,0.0,0.0,0.0,0.0,-1.2022657397831678e-07
