species,Compartment,MP_Form,Size_Fraction_um,mass_g,number_of_particles,concentration_g_m3,concentration_num_m3
bD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5.0,354.62405659817733,5528833131124.8955,3.5462405659817736e-14,0.0005528833131124896
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.8024620498282422,12510935693761.918,8.024620498282422e-17,0.0012510935693761918
eA2_Utopia,Ocean_Column_Water,freeMP,5000.0,-0.0,-0.0,-0.0,-0.0
dA2_Utopia,Ocean_Column_Water,freeMP,500.0,-0.0,-0.0,-0.0,-0.0
cA2_Utopia,Ocean_Column_Water,freeMP,50.0,-0.0,-0.0,-0.0,-0.0
bA2_Utopia,Ocean_Column_Water,freeMP,5.0,-0.0,-0.0,-0.0,-0.0
aA2_Utopia,Ocean_Column_Water,freeMP,0.5,6.074522646923414e-06,94705989.17696577,6.074522646923414e-24,9.470598917696577e-11
eB2_Utopia,Ocean_Column_Water,heterMP,5000.0,-0.0,-0.0,-0.0,-0.0
dB2_Utopia,Ocean_Column_Water,heterMP,500.0,-0.0,-0.0,-0.0,-0.0
cB2_Utopia,Ocean_Column_Water,heterMP,50.0,-0.0,-0.0,-0.0,-0.0
bB2_Utopia,Ocean_Column_Water,heterMP,5.0,-0.0,-0.0,-0.0,-0.0
aB2_Utopia,Ocean_Column_Water,heterMP,0.5,6.293713218205499e-05,981233210.5275483,6.293713218205499e-23,9.812332105275483e-10
eC2_Utopia,Ocean_Column_Water,biofMP,5000.0,-0.0,-0.0,-0.0,-0.0
dC2_Utopia,Ocean_Column_Water,biofMP,500.0,365913.34705396177,5249738416.58268,3.659133470539618e-13,5.24973841658268e-09
cC2_Utopia,Ocean_Column_Water,biofMP,50.0,26181.27470560138,200968423162.11377,2.618127470560138e-14,2.0096842316211377e-07
bC2_Utopia,Ocean_Column_Water,biofMP,5.0,1172.6159354134727,483334729606.68384,1.1726159354134726e-15,4.833347296066838e-07
aC2_Utopia,Ocean_Column_Water,biofMP,0.5,2.631893089450595,3128427126.796491,2.6318930894505953e-18,3.128427126796491e-09
eD2_Utopia,Ocean_Column_Water,heterBiofMP,5000.0,-0.0,-0.0,-0.0,-0.0
dD2_Utopia,Ocean_Column_Water,heterBiofMP,500.0,3659132.9212247976,57048400833.6209,3.6591329212247974e-12,5.7048400833620906e-08
cD2_Utopia,Ocean_Column_Water,heterBiofMP,50.0,261811.75999052415,4081825544040.571,2.6181175999052414e-13,4.081825544040571e-06
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,11724.93812767217,182799855719084.88,1.1724938127672171e-14,0.00018279985571908487
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,26.311436338759105,410213402758651.4,2.6311436338759104e-17,0.0004102134027586514
eA3_Utopia,Coast_Surface_Water,freeMP,5000.0,72.16423592545824,1125.0901089292813,1.899058840143638e-14,2.9607634445507403e-13
dA3_Utopia,Coast_Surface_Water,freeMP,500.0,75.89418647286257,1183242.6052990174,1.9972154334963836e-14,3.1137963297342564e-10
cA3_Utopia,Coast_Surface_Water,freeMP,50.0,6.000855090327218,93557461.26403973,1.5791723921913733e-15,2.462038454316835e-08
bA3_Utopia,Coast_Surface_Water,freeMP,5.0,0.04331205817862344,675264798.8191026,1.1397910047006169e-17,1.7770126284713227e-07
aA3_Utopia,Coast_Surface_Water,freeMP,0.5,3.133305051903009e-05,488503824.2205763,8.245539610271075e-21,1.2855363795278324e-07
eB3_Utopia,Coast_Surface_Water,heterMP,5000.0,721.6423592928647,11250.901089889661,1.8990588402443808e-13,2.9607634447078054e-12
dB3_Utopia,Coast_Surface_Water,heterMP,500.0,758.9418940196795,11832426.509657862,1.997215510578104e-13,3.1137964499099637e-09
cB3_Utopia,Coast_Surface_Water,heterMP,50.0,60.00913265507226,935583682.551382,1.5791877014492698e-14,2.462062322503637e-07
bB3_Utopia,Coast_Surface_Water,heterMP,5.0,0.43323096163134206,6754368885.95102,1.140081477977216e-16,1.7774654963029002e-06
aB3_Utopia,Coast_Surface_Water,heterMP,0.5,0.0002988641678047174,4659498085.142838,7.864846521176774e-20,1.2261837066165362e-06
eC3_Utopia,Coast_Surface_Water,biofMP,5000.0,183.99600724137218,2844.40438997309,4.8420001905624256e-14,7.4852747104555e-13
dC3_Utopia,Coast_Surface_Water,biofMP,500.0,2.9242518320583066,41954.07821583195,7.695399558048176e-16,1.1040546898903144e-11
cC3_Utopia,Coast_Surface_Water,biofMP,50.0,0.23338978790484483,1791508.5565846006,6.141836523811705e-17,4.714496201538423e-10
